frequency,Aol_dB,Aol_arg
2.220928890000000155e+00,3.099618369999999956e+01,1.799999579999999924e+02
2.324537910000000096e+00,3.099618369999999956e+01,1.799999559999999974e+02
2.432980419999999810e+00,3.099618369999999956e+01,1.799999540000000025e+02
2.546481899999999854e+00,3.099618369999999956e+01,1.799999520000000075e+02
2.665278369999999786e+00,3.099618369999999956e+01,1.799999489999999867e+02
2.789616829999999936e+00,3.099618369999999956e+01,1.799999469999999917e+02
2.919755830000000163e+00,3.099618369999999956e+01,1.799999439999999993e+02
3.055965979999999860e+00,3.099618369999999956e+01,1.799999420000000043e+02
3.198530490000000004e+00,3.099618369999999956e+01,1.799999390000000119e+02
3.347745810000000155e+00,3.099618369999999956e+01,1.799999359999999911e+02
3.503922209999999815e+00,3.099618369999999956e+01,1.799999329999999986e+02
3.667384419999999867e+00,3.099618369999999956e+01,1.799999300000000062e+02
3.838472340000000038e+00,3.099618369999999956e+01,1.799999270000000138e+02
4.017541729999999589e+00,3.099618369999999956e+01,1.799999239999999929e+02
4.204964910000000167e+00,3.099618369999999956e+01,1.799999200000000030e+02
4.401131620000000133e+00,3.099618369999999956e+01,1.799999160000000131e+02
4.606449740000000403e+00,3.099618369999999956e+01,1.799999119999999948e+02
4.821346189999999865e+00,3.099618369999999956e+01,1.799999080000000049e+02
5.046267829999999677e+00,3.099618369999999956e+01,1.799999039999999866e+02
5.281682339999999698e+00,3.099618369999999956e+01,1.799998989999999992e+02
5.528079209999999577e+00,3.099618369999999956e+01,1.799998950000000093e+02
5.785970800000000303e+00,3.099618369999999956e+01,1.799998899999999935e+02
6.055893339999999903e+00,3.099618369999999956e+01,1.799998850000000061e+02
6.338408099999999656e+00,3.099618369999999956e+01,1.799998789999999929e+02
6.634102509999999953e+00,3.099618369999999956e+01,1.799998740000000055e+02
6.943591429999999676e+00,3.099618369999999956e+01,1.799998679999999922e+02
7.267518380000000278e+00,3.099618369999999956e+01,1.799998620000000074e+02
7.606556910000000116e+00,3.099618369999999956e+01,1.799998549999999966e+02
7.961412000000000155e+00,3.099618369999999956e+01,1.799998479999999859e+02
8.332821510000000487e+00,3.099618369999999956e+01,1.799998410000000035e+02
8.721557719999999847e+00,3.099618369999999956e+01,1.799998339999999928e+02
9.128428949999999986e+00,3.099618369999999956e+01,1.799998260000000130e+02
9.554281209999999191e+00,3.099618369999999956e+01,1.799998180000000048e+02
1.000000000000000000e+01,3.099618369999999956e+01,1.799998099999999965e+02
1.046651209999999921e+01,3.099618369999999956e+01,1.799998009999999908e+02
1.095478759999999951e+01,3.099618369999999956e+01,1.799997909999999877e+02
1.146584170000000036e+01,3.099618369999999956e+01,1.799997820000000104e+02
1.200073710000000027e+01,3.099618369999999956e+01,1.799997720000000072e+02
1.256058600000000069e+01,3.099618369999999956e+01,1.799997610000000066e+02
1.314655250000000031e+01,3.099618369999999956e+01,1.799997500000000059e+02
1.375985509999999934e+01,3.099618369999999956e+01,1.799997380000000078e+02
1.440176899999999982e+01,3.099618369999999956e+01,1.799997260000000097e+02
1.507362900000000039e+01,3.099618369999999956e+01,1.799997130000000141e+02
1.577683200000000063e+01,3.099618369999999956e+01,1.799996999999999900e+02
1.651284040000000175e+01,3.099618369999999956e+01,1.799996859999999970e+02
1.728318439999999967e+01,3.099618369999999956e+01,1.799996710000000064e+02
1.808946579999999926e+01,3.099618369999999956e+01,1.799996559999999874e+02
1.893336130000000139e+01,3.099618369999999956e+01,1.799996399999999994e+02
1.981662550000000067e+01,3.099618369999999956e+01,1.799996230000000139e+02
2.074109509999999901e+01,3.099618369999999956e+01,1.799996050000000025e+02
2.170869229999999916e+01,3.099618369999999956e+01,1.799995869999999911e+02
2.272142910000000171e+01,3.099618369999999956e+01,1.799995670000000132e+02
2.378141129999999848e+01,3.099618369999999956e+01,1.799995470000000068e+02
2.489084289999999910e+01,3.099618369999999956e+01,1.799995260000000030e+02
2.605203089999999833e+01,3.099618369999999956e+01,1.799995040000000017e+02
2.726738969999999895e+01,3.099618369999999956e+01,1.799994810000000030e+02
2.853944639999999922e+01,3.099618369999999956e+01,1.799994570000000067e+02
2.987084610000000140e+01,3.099618369999999956e+01,1.799994309999999871e+02
3.126435730000000035e+01,3.099618369999999956e+01,1.799994049999999959e+02
3.272287740000000156e+01,3.099618369999999956e+01,1.799993770000000097e+02
3.424943919999999764e+01,3.099618369999999956e+01,1.799993479999999977e+02
3.584721710000000172e+01,3.099618369999999956e+01,1.799993169999999907e+02
3.751953309999999675e+01,3.099618369999999956e+01,1.799992860000000121e+02
3.926986480000000057e+01,3.099618369999999956e+01,1.799992520000000127e+02
4.110185150000000220e+01,3.099618369999999956e+01,1.799992169999999874e+02
4.301930269999999723e+01,3.099618369999999956e+01,1.799991809999999930e+02
4.502620519999999971e+01,3.099618369999999956e+01,1.799991430000000037e+02
4.712673219999999930e+01,3.099618369999999956e+01,1.799991029999999910e+02
4.932525129999999791e+01,3.099618369999999956e+01,1.799990610000000117e+02
5.162633399999999995e+01,3.099618369999999956e+01,1.799990170000000091e+02
5.403476500000000016e+01,3.099618369999999956e+01,1.799989710000000116e+02
5.655555230000000222e+01,3.099618369999999956e+01,1.799989229999999907e+02
5.919393720000000059e+01,3.099618369999999956e+01,1.799988730000000032e+02
6.195540609999999759e+01,3.099618369999999956e+01,1.799988199999999949e+02
6.484570080000000303e+01,3.099618369999999956e+01,1.799987649999999917e+02
6.787083130000000608e+01,3.099618369999999956e+01,1.799987079999999935e+02
7.103708770000000072e+01,3.099618369999999956e+01,1.799986470000000054e+02
7.435105389999999659e+01,3.099618369999999956e+01,1.799985839999999939e+02
7.781962059999999326e+01,3.099618369999999956e+01,1.799985179999999900e+02
8.145000009999999691e+01,3.099618369999999956e+01,1.799984489999999937e+02
8.524974120000000255e+01,3.099618369999999956e+01,1.799983770000000050e+02
8.922674489999999992e+01,3.099618369999999956e+01,1.799983009999999979e+02
9.338928049999999814e+01,3.099618369999999956e+01,1.799982219999999984e+02
9.774600359999999455e+01,3.099618369999999956e+01,1.799981390000000090e+02
1.023059729999999945e+02,3.099618369999999956e+01,1.799980520000000013e+02
1.070786700000000025e+02,3.099618369999999956e+01,1.799979610000000037e+02
1.120740200000000044e+02,3.099618369999999956e+01,1.799978659999999877e+02
1.173024089999999973e+02,3.099618369999999956e+01,1.799977670000000103e+02
1.227747080000000039e+02,3.099618369999999956e+01,1.799976619999999912e+02
1.285022969999999987e+02,3.099618369999999956e+01,1.799975530000000106e+02
1.344970849999999984e+02,3.099618369999999956e+01,1.799974390000000142e+02
1.407715369999999950e+02,3.099618369999999956e+01,1.799973200000000020e+02
1.473386989999999912e+02,3.099618369999999956e+01,1.799971950000000049e+02
1.542122280000000103e+02,3.099618369999999956e+01,1.799970639999999946e+02
1.614064150000000097e+02,3.099618369999999956e+01,1.799969269999999995e+02
1.689362199999999916e+02,3.099618369999999956e+01,1.799967829999999935e+02
1.768172989999999913e+02,3.099618369999999956e+01,1.799966330000000028e+02
1.850660399999999868e+02,3.099618369999999956e+01,1.799964760000000012e+02
1.936995949999999880e+02,3.099618369999999956e+01,1.799963119999999890e+02
2.027359160000000031e+02,3.099618369999999956e+01,1.799961399999999969e+02
2.121937920000000020e+02,3.099618369999999956e+01,1.799959599999999966e+02
2.220928890000000138e+02,3.099618369999999956e+01,1.799957709999999906e+02
2.324537909999999954e+02,3.099618369999999956e+01,1.799955740000000048e+02
2.432980420000000095e+02,3.099618369999999956e+01,1.799953669999999875e+02
2.546481899999999996e+02,3.099618369999999956e+01,1.799951509999999928e+02
2.665278369999999768e+02,3.099618369999999956e+01,1.799949249999999950e+02
2.789616829999999936e+02,3.099618369999999956e+01,1.799946879999999965e+02
2.919755829999999719e+02,3.099618369999999956e+01,1.799944409999999948e+02
3.055965979999999718e+02,3.099618359999999839e+01,1.799941809999999975e+02
3.198530489999999986e+02,3.099618359999999839e+01,1.799939099999999996e+02
3.347745810000000120e+02,3.099618359999999839e+01,1.799936260000000061e+02
3.503922210000000064e+02,3.099618359999999839e+01,1.799933279999999911e+02
3.667384420000000205e+02,3.099618359999999839e+01,1.799930170000000089e+02
3.838472340000000145e+02,3.099618359999999839e+01,1.799926910000000078e+02
4.017541729999999802e+02,3.099618359999999839e+01,1.799923499999999876e+02
4.204964909999999918e+02,3.099618359999999839e+01,1.799919940000000054e+02
4.401131619999999884e+02,3.099618359999999839e+01,1.799916200000000117e+02
4.606449739999999906e+02,3.099618359999999839e+01,1.799912290000000041e+02
4.821346189999999865e+02,3.099618359999999839e+01,1.799908200000000136e+02
5.046267829999999890e+02,3.099618359999999839e+01,1.799903920000000141e+02
5.281682339999999840e+02,3.099618359999999839e+01,1.799899430000000109e+02
5.528079209999999648e+02,3.099618350000000078e+01,1.799894740000000013e+02
5.785970800000000054e+02,3.099618350000000078e+01,1.799889829999999904e+02
6.055893340000000080e+02,3.099618350000000078e+01,1.799884690000000091e+02
6.338408100000000331e+02,3.099618350000000078e+01,1.799879310000000032e+02
6.634102510000000166e+02,3.099618350000000078e+01,1.799873680000000036e+02
6.943591430000000173e+02,3.099618350000000078e+01,1.799867790000000127e+02
7.267518380000000207e+02,3.099618339999999961e+01,1.799861620000000073e+02
7.606556910000000471e+02,3.099618339999999961e+01,1.799855169999999873e+02
7.961412000000000262e+02,3.099618339999999961e+01,1.799848409999999888e+02
8.332821509999999989e+02,3.099618339999999961e+01,1.799841340000000116e+02
8.721557719999999563e+02,3.099618329999999844e+01,1.799833940000000041e+02
9.128428949999999986e+02,3.099618329999999844e+01,1.799826189999999997e+02
9.554281210000000328e+02,3.099618329999999844e+01,1.799818080000000009e+02
1.000000000000000000e+03,3.099618320000000082e+01,1.799809600000000103e+02
1.046651209999999992e+03,3.099618320000000082e+01,1.799800710000000095e+02
1.095478759999999966e+03,3.099618309999999965e+01,1.799791419999999960e+02
1.146584170000000086e+03,3.099618309999999965e+01,1.799781690000000083e+02
1.200073709999999892e+03,3.099618299999999849e+01,1.799771499999999946e+02
1.256058600000000069e+03,3.099618290000000087e+01,1.799760839999999860e+02
1.314655250000000024e+03,3.099618290000000087e+01,1.799749679999999898e+02
1.375985509999999977e+03,3.099618279999999970e+01,1.799738010000000088e+02
1.440176899999999932e+03,3.099618269999999853e+01,1.799725779999999986e+02
1.507362900000000081e+03,3.099618260000000092e+01,1.799712989999999877e+02
1.577683199999999943e+03,3.099618249999999975e+01,1.799699599999999862e+02
1.651284040000000005e+03,3.099618239999999858e+01,1.799685589999999991e+02
1.728318440000000010e+03,3.099618230000000096e+01,1.799670920000000081e+02
1.808946580000000040e+03,3.099618209999999863e+01,1.799655569999999898e+02
1.893336129999999912e+03,3.099618200000000101e+01,1.799639500000000112e+02
1.981662550000000010e+03,3.099618179999999867e+01,1.799622679999999946e+02
2.074109509999999773e+03,3.099618159999999989e+01,1.799605080000000044e+02
2.170869229999999789e+03,3.099618140000000110e+01,1.799586659999999938e+02
2.272142910000000029e+03,3.099618119999999877e+01,1.799567370000000039e+02
2.378141129999999976e+03,3.099618099999999998e+01,1.799547190000000114e+02
2.489084289999999783e+03,3.099618070000000003e+01,1.799526070000000004e+02
2.605203089999999975e+03,3.099618040000000008e+01,1.799503960000000120e+02
2.726738969999999881e+03,3.099618010000000012e+01,1.799480819999999994e+02
2.853944640000000163e+03,3.099617980000000017e+01,1.799456600000000037e+02
2.987084609999999884e+03,3.099617939999999905e+01,1.799431250000000091e+02
3.126435730000000149e+03,3.099617900000000148e+01,1.799404710000000023e+02
3.272287740000000213e+03,3.099617860000000036e+01,1.799376939999999934e+02
3.424943920000000162e+03,3.099617810000000162e+01,1.799347879999999975e+02
3.584721709999999803e+03,3.099617750000000171e+01,1.799317450000000065e+02
3.751953309999999874e+03,3.099617699999999942e+01,1.799285610000000020e+02
3.926986480000000029e+03,3.099617629999999835e+01,1.799252280000000042e+02
4.110185150000000249e+03,3.099617560000000083e+01,1.799217399999999998e+02
4.301930269999999837e+03,3.099617479999999858e+01,1.799180890000000090e+02
4.502620520000000397e+03,3.099617399999999989e+01,1.799142679999999928e+02
4.712673219999999674e+03,3.099617310000000003e+01,1.799102689999999996e+02
4.932525129999999990e+03,3.099617209999999901e+01,1.799060829999999953e+02
5.162633399999999710e+03,3.099617089999999919e+01,1.799017010000000028e+02
5.403476499999999760e+03,3.099616969999999938e+01,1.798971160000000111e+02
5.655555229999999938e+03,3.099616839999999840e+01,1.798923159999999939e+02
5.919393720000000030e+03,3.099616689999999863e+01,1.798872920000000022e+02
6.195540610000000015e+03,3.099616530000000125e+01,1.798820340000000044e+02
6.484570080000000416e+03,3.099616359999999915e+01,1.798765309999999999e+02
6.787083129999999983e+03,3.099616169999999826e+01,1.798707709999999906e+02
7.103708770000000186e+03,3.099615959999999859e+01,1.798647420000000068e+02
7.435105389999999716e+03,3.099615719999999897e+01,1.798584329999999909e+02
7.781962059999999838e+03,3.099615470000000172e+01,1.798518280000000118e+02
8.145000009999999747e+03,3.099615199999999859e+01,1.798449160000000120e+02
8.524974120000000767e+03,3.099614890000000145e+01,1.798376810000000035e+02
8.922674489999999423e+03,3.099614559999999841e+01,1.798301089999999931e+02
9.338928050000000439e+03,3.099614199999999897e+01,1.798221829999999954e+02
9.774600360000000364e+03,3.099613799999999841e+01,1.798138879999999915e+02
1.023059729999999945e+04,3.099613360000000029e+01,1.798052059999999983e+02
1.070786700000000019e+04,3.099612880000000104e+01,1.797961180000000070e+02
1.120740200000000004e+04,3.099612360000000066e+01,1.797866070000000036e+02
1.173024090000000069e+04,3.099611790000000155e+01,1.797766520000000128e+02
1.227747079999999914e+04,3.099611159999999899e+01,1.797662329999999997e+02
1.285022969999999987e+04,3.099610470000000007e+01,1.797553269999999941e+02
1.344970850000000064e+04,3.099609720000000124e+01,1.797439129999999921e+02
1.407715370000000075e+04,3.099608890000000017e+01,1.797319669999999974e+02
1.473386989999999969e+04,3.099607980000000040e+01,1.797194629999999904e+02
1.542122279999999955e+04,3.099606989999999840e+01,1.797063760000000059e+02
1.614064149999999972e+04,3.099605910000000009e+01,1.796926780000000008e+02
1.689362199999999939e+04,3.099604719999999958e+01,1.796783409999999890e+02
1.768172989999999845e+04,3.099603409999999926e+01,1.796633359999999868e+02
1.850660399999999936e+04,3.099601990000000029e+01,1.796476299999999924e+02
1.936995950000000084e+04,3.099600420000000156e+01,1.796311919999999986e+02
2.027359159999999974e+04,3.099598710000000068e+01,1.796139880000000062e+02
2.121937919999999940e+04,3.099596830000000125e+01,1.795959799999999973e+02
2.220928889999999956e+04,3.099594769999999855e+01,1.795771330000000034e+02
2.324537909999999829e+04,3.099592519999999851e+01,1.795574059999999861e+02
2.432980419999999867e+04,3.099590050000000119e+01,1.795367599999999868e+02
2.546481899999999951e+04,3.099587349999999830e+01,1.795151500000000055e+02
2.665278369999999995e+04,3.099584390000000056e+01,1.794925320000000113e+02
2.789616830000000118e+04,3.099581140000000090e+01,1.794688600000000065e+02
2.919755830000000060e+04,3.099577590000000171e+01,1.794440830000000062e+02
3.055965980000000127e+04,3.099573699999999832e+01,1.794181499999999971e+02
3.198530489999999918e+04,3.099569430000000025e+01,1.793910079999999994e+02
3.347745810000000347e+04,3.099564760000000163e+01,1.793626010000000122e+02
3.503922209999999905e+04,3.099559640000000016e+01,1.793328679999999906e+02
3.667384419999999955e+04,3.099554029999999827e+01,1.793017480000000035e+02
3.838472340000000258e+04,3.099547889999999839e+01,1.792691770000000133e+02
4.017541730000000098e+04,3.099541160000000062e+01,1.792350869999999929e+02
4.204964910000000236e+04,3.099533789999999911e+01,1.791994080000000054e+02
4.401131620000000112e+04,3.099525720000000106e+01,1.791620650000000126e+02
4.606449740000000020e+04,3.099516870000000068e+01,1.791229800000000125e+02
4.821346190000000206e+04,3.099507180000000162e+01,1.790820730000000083e+02
5.046267829999999958e+04,3.099496570000000162e+01,1.790392579999999896e+02
5.281682340000000113e+04,3.099484939999999966e+01,1.789944470000000081e+02
5.528079209999999875e+04,3.099472199999999944e+01,1.789475469999999859e+02
5.785970799999999872e+04,3.099458249999999992e+01,1.788984609999999975e+02
6.055893340000000171e+04,3.099442970000000130e+01,1.788470859999999902e+02
6.338408099999999831e+04,3.099426220000000143e+01,1.787933170000000018e+02
6.634102509999999893e+04,3.099407880000000048e+01,1.787370410000000049e+02
6.943591430000000400e+04,3.099387790000000109e+01,1.786781430000000057e+02
7.267518379999999888e+04,3.099365780000000115e+01,1.786165000000000020e+02
7.606556909999999334e+04,3.099341670000000093e+01,1.785519850000000019e+02
7.961411999999999534e+04,3.099315259999999839e+01,1.784844640000000027e+02
8.332821510000000126e+04,3.099286329999999978e+01,1.784137980000000141e+02
8.721557719999999972e+04,3.099254649999999955e+01,1.783398400000000095e+02
9.128428949999999895e+04,3.099219929999999934e+01,1.782624370000000056e+02
9.554281209999999555e+04,3.099181910000000073e+01,1.781814310000000035e+02
1.000000000000000000e+05,3.099140260000000069e+01,1.780966530000000034e+02
1.046651209999999992e+05,3.099094639999999856e+01,1.780079299999999876e+02
1.095478760000000038e+05,3.099044669999999968e+01,1.779150769999999966e+02
1.146584170000000013e+05,3.098989930000000115e+01,1.778179039999999986e+02
1.200073709999999992e+05,3.098929970000000012e+01,1.777162120000000129e+02
1.256058600000000006e+05,3.098864299999999972e+01,1.776097910000000013e+02
1.314655249999999942e+05,3.098792380000000080e+01,1.774984230000000025e+02
1.375985510000000068e+05,3.098713589999999840e+01,1.773818789999999979e+02
1.440176900000000023e+05,3.098627300000000062e+01,1.772599219999999889e+02
1.507362900000000081e+05,3.098532799999999909e+01,1.771323020000000099e+02
1.577683200000000070e+05,3.098429289999999980e+01,1.769987580000000094e+02
1.651284040000000095e+05,3.098315930000000051e+01,1.768590199999999868e+02
1.728318440000000119e+05,3.098191780000000151e+01,1.767128020000000106e+02
1.808946579999999958e+05,3.098055809999999965e+01,1.765598090000000013e+02
1.893336130000000121e+05,3.097906920000000142e+01,1.763997310000000027e+02
1.981662550000000047e+05,3.097743859999999927e+01,1.762322460000000035e+02
2.074109510000000009e+05,3.097565309999999883e+01,1.760570150000000069e+02
2.170869230000000098e+05,3.097369790000000123e+01,1.758736890000000130e+02
2.272142909999999974e+05,3.097155700000000067e+01,1.756819010000000105e+02
2.378141130000000121e+05,3.096921299999999988e+01,1.754812689999999975e+02
2.489084290000000037e+05,3.096664660000000069e+01,1.752713960000000100e+02
2.605203090000000084e+05,3.096383690000000044e+01,1.750518680000000131e+02
2.726738969999999972e+05,3.096076109999999915e+01,1.748222539999999867e+02
2.853944639999999781e+05,3.095739400000000074e+01,1.745821060000000102e+02
2.987084610000000102e+05,3.095370850000000118e+01,1.743309580000000096e+02
3.126435729999999749e+05,3.094967469999999921e+01,1.740683270000000107e+02
3.272287739999999758e+05,3.094526000000000110e+01,1.737937110000000018e+02
3.424943919999999925e+05,3.094042890000000057e+01,1.735065889999999911e+02
3.584721709999999730e+05,3.093514280000000127e+01,1.732064220000000034e+02
3.751953310000000056e+05,3.092935930000000155e+01,1.728926510000000007e+02
3.926986479999999865e+05,3.092303240000000031e+01,1.725646989999999903e+02
4.110185150000000140e+05,3.091611199999999826e+01,1.722219699999999989e+02
4.301930270000000019e+05,3.090854350000000039e+01,1.718638489999999877e+02
4.502620520000000251e+05,3.090026750000000177e+01,1.714897039999999890e+02
4.712673219999999856e+05,3.089121940000000066e+01,1.710988830000000007e+02
4.932525129999999772e+05,3.088132889999999975e+01,1.706907190000000014e+02
5.162633400000000256e+05,3.087051990000000146e+01,1.702645290000000102e+02
5.403476500000000233e+05,3.085870969999999858e+01,1.698196149999999989e+02
5.655555230000000447e+05,3.084580860000000158e+01,1.693552660000000003e+02
5.919393719999999739e+05,3.083171959999999956e+01,1.688707599999999900e+02
6.195540609999999870e+05,3.081633760000000066e+01,1.683653659999999945e+02
6.484570080000000307e+05,3.079954929999999891e+01,1.678383469999999988e+02
6.787083129999999655e+05,3.078123229999999921e+01,1.672889639999999929e+02
7.103708769999999786e+05,3.076125469999999851e+01,1.667164760000000001e+02
7.435105389999999898e+05,3.073947450000000003e+01,1.661201499999999953e+02
7.781962060000000056e+05,3.071573959999999914e+01,1.654992609999999900e+02
8.145000010000000475e+05,3.068988639999999890e+01,1.648531010000000094e+02
8.524974120000000112e+05,3.066174039999999934e+01,1.641809800000000052e+02
8.922674490000000224e+05,3.063111500000000120e+01,1.634822409999999877e+02
9.338928050000000512e+05,3.059781149999999883e+01,1.627562580000000025e+02
9.774600359999999637e+05,3.056161900000000031e+01,1.620024530000000027e+02
1.023059729999999981e+06,3.052231409999999912e+01,1.612202980000000139e+02
1.070786699999999953e+06,3.047966080000000133e+01,1.604093300000000113e+02
1.120740199999999953e+06,3.043341080000000076e+01,1.595691579999999874e+02
1.173024090000000084e+06,3.038330390000000136e+01,1.586994760000000042e+02
1.227747080000000075e+06,3.032906840000000059e+01,1.578000739999999951e+02
1.285022969999999972e+06,3.027042180000000116e+01,1.568708469999999977e+02
1.344970850000000093e+06,3.020707180000000136e+01,1.559118119999999976e+02
1.407715370000000112e+06,3.013871770000000083e+01,1.549231159999999932e+02
1.473386989999999991e+06,3.006505170000000149e+01,1.539050489999999911e+02
1.542122280000000028e+06,2.998576100000000011e+01,1.528580560000000048e+02
1.614064149999999907e+06,2.990052980000000105e+01,1.517827430000000106e+02
1.689362199999999953e+06,2.980904140000000169e+01,1.506798929999999928e+02
1.768172989999999991e+06,2.971098149999999904e+01,1.495504650000000026e+02
1.850660399999999907e+06,2.960604089999999999e+01,1.483956039999999916e+02
1.936995949999999953e+06,2.949391830000000070e+01,1.472166449999999998e+02
2.027359159999999916e+06,2.937432430000000139e+01,1.460151070000000004e+02
2.121937919999999925e+06,2.924698430000000116e+01,1.447926970000000040e+02
2.220928890000000130e+06,2.911164229999999975e+01,1.435512980000000027e+02
2.324537910000000149e+06,2.896806420000000060e+01,1.422929629999999861e+02
2.432980419999999925e+06,2.881604109999999963e+01,1.410199020000000019e+02
2.546481899999999907e+06,2.865539229999999904e+01,1.397344620000000077e+02
2.665278370000000112e+06,2.848596829999999969e+01,1.384391109999999969e+02
2.789616830000000075e+06,2.830765299999999840e+01,1.371364159999999970e+02
2.919755830000000075e+06,2.812036529999999956e+01,1.358290149999999983e+02
3.055965979999999981e+06,2.792406079999999946e+01,1.345195929999999862e+02
3.198530490000000224e+06,2.771873250000000155e+01,1.332108560000000068e+02
3.347745810000000056e+06,2.750441049999999876e+01,1.319054979999999944e+02
3.503922209999999963e+06,2.728116229999999831e+01,1.306061789999999974e+02
3.667384419999999925e+06,2.704909059999999954e+01,1.293154940000000011e+02
3.838472339999999851e+06,2.680833279999999874e+01,1.280359469999999931e+02
4.017541729999999981e+06,2.655905789999999911e+01,1.267699319999999972e+02
4.204964910000000149e+06,2.630146450000000158e+01,1.255197090000000060e+02
4.401131620000000112e+06,2.603577749999999824e+01,1.242873869999999954e+02
